username,natives,learning
Djamshid,"Russian,Uzbek","English (US),Simplified Chinese (China)"
fabiopietralonga,Portuguese (Brazil),"English (US),Italian"
starone,Simplified Chinese (China),English (US)
Lizzu,Spanish (Spain),"English (US),Korean,Italian"
qigengcai,Simplified Chinese (China),English (UK)
Zitriphyer,English (US),Greek
is_aboodi,Arabic,English (US)
SatomiK,Japanese,English (US)
3mar_allamy,"Arabic,English (US)","English (US),Russian"
ban_axt,Arabic,English (US)
152mod,Arabic,English (US)
sousaivanildo54,"Portuguese (Brazil),Portuguese (Portugal)","Portuguese (Brazil),Simplified Chinese (China)"
mdshaaah,Arabic,"English (US),Japanese"
tarekbittar7,Arabic,German
Hizu,"English (US),Spanish (Chile)","English (UK),Japanese"
jo520,Simplified Chinese (China),"English (US),Russian"
luda0702,Simplified Chinese (China),English (US)
gyo_3,English (US),English (US)
NekwasiukFox,"English (US),Spanish (Spain)","Japanese,Korean"
JoaoPeter,Portuguese (Brazil),"English (US),German"
noncreativename,English (US),"Arabic,Spanish (Mexico)"
Platonicprick,English (US),Japanese
orihara,Simplified Chinese (China),Japanese
osman1krbog,English (US),English (US)
Fweesl,"Arabic,English (UK)",English (US)
hiba_hs,Arabic,English (US)
mediobestia,Spanish (Mexico),"English (US),Japanese"
i-faisal,Arabic,English (US)
tayna1515,Spanish (Mexico),Korean
afrah-h,Arabic,"English (US),Greek,Italian,Latin,Spanish (Spain),Turkish"
31496180,Spanish (Spain),English (US)
soofzy,Portuguese (Brazil),"English (US),Japanese,Korean,Spanish (Spain)"
Juliadek8,Spanish (Colombia),"English (US),Korean"
Carlos33,Spanish (Colombia),English (US)
stressedjenny,English (US),"Korean,Simplified Chinese (China)"
lilly1328,"Simplified Chinese (China),Traditional Chinese (Taiwan)","English (US),Japanese,Korean"
rudychristian,Spanish (Colombia),"English (US),Portuguese (Brazil)"
erty912010,"Simplified Chinese (China),Traditional Chinese (Taiwan)","English (US),Japanese,Korean"
boodyjwdat,"Arabic,English (US)",Turkish
jinsil,Korean,English (US)
Freaksland,"Arabic,English (US)",Spanish (Spain)
natalka55045,Russian,"English (US),Italian"
Karolina-F,Polish,"Bosnian,Croatian,English (US),Serbian"
Discover,English (UK),"Japanese,Korean,Latin"
srnicolaucacetoso,Portuguese (Brazil),English (US)
Wataricosmos,Japanese,English (US)
takaki19991215,Vietnamese,"English (US),Japanese"
muhadeseha,English (US),Japanese
mini_0927,Korean,English (US)
Mahmoud167,Arabic,English (US)
juirohekar,"English (US),Hindi,Marathi","Japanese,Korean"
Katya01,Russian,Korean
Lana18,Russian,English (UK)
y-kazu,Japanese,English (US)
kitty_guy,Japanese,English (US)
j_39,"English (US),Spanish (Mexico)","Korean,Traditional Chinese (Hong Kong)"
osama_kamal,Arabic,"English (UK),Arabic"
ahmedhero604,Arabic,"Spanish (Spain),Italian"
elmychanhee,Spanish (Mexico),Korean
7amada,Arabic,English (US)
Motlaq__1,Arabic,English (US)
sakiya0205,Traditional Chinese (Taiwan),Japanese
ujjnbgg2,Arabic,English (US)
inessa323,Russian,Lithuanian
oats,English (US),Korean
Jamesbearwu,Traditional Chinese (Taiwan),English (US)
alan3dpaulista,Portuguese (Brazil),English (US)
doiregala,English (US),Spanish (Spain)
nogueiraleonardo042,Portuguese (Portugal),"English (US),Simplified Chinese (China),Spanish (Spain)"
kingheros,Arabic,English (US)
Ghatfan,Arabic,English (UK)
Kaleed,Arabic,English (US)
k1000ita,Spanish (Chile),German
Lana44,Russian,English (UK)
Ayla7,Arabic,"Traditional Chinese (Taiwan),English (US)"
leosilveira,Portuguese (Portugal),"English (US),Simplified Chinese (China),Spanish (Spain)"
MDMN-121-,Arabic,English (US)
mikaellycs13,Portuguese (Brazil),"English (US),Traditional Chinese (Taiwan)"
kimgin2209,English (US),English (US)
Pointfitmax,Portuguese (Brazil),English (US)
itsali,Arabic,English (US)
keidon,Japanese,German
Yuri55,Japanese,English (US)
elidmy,Spanish (Spain),English (US)
eduardonunes913,"English (US),Portuguese (Portugal)","English (US),Japanese"
shathazyan-zain,Arabic,"English (US),Russian,Turkish"
Bridget_Silver,English (US),"German,Hungarian"
k74571039,Korean,"English (US),German,Italian"
vanilya,English (US),"Arabic,Turkish"
laurita28luna35,Spanish (Mexico),Korean
Segovia659,Spanish (Mexico),English (UK)
SusanMarie5,Spanish (Mexico),English (US)
tilbarbabranca,Portuguese (Brazil),English (US)
neal0121,Simplified Chinese (China),"English (US),Japanese,Korean"
WangmengJoy,Simplified Chinese (China),English (UK)
alicevinograd,Russian,English (US)
bibanaeva,English (US),English (US)
Amanda897,"English (US),Spanish (Spain)","Japanese,Korean"
wonderfulyes,Simplified Chinese (China),English (US)
victorvegetable,English (US),Japanese
universe7,Japanese,English (US)
sussukinha,Portuguese (Brazil),English (US)
siveryan4,Russian,"English (US),Turkish"
ofadwan9800,Arabic,English (US)
Squarefish,Traditional Chinese (Taiwan),"English (US),Japanese,Korean"
introvertplantkid,English (US),Korean
rogggger,Korean,Japanese
kangin20,"English (US),Tagalog",Korean
Lizan,Portuguese (Brazil),"English (US),French (France),Korean"
hellokrista,English (US),"Japanese,Korean"
CcAlinda,English (UK),Simplified Chinese (China)
RSW,Traditional Chinese (Taiwan),"Japanese,English (US),Korean"
1415kleem,Arabic,English (US)
Rhianne,English (US),Japanese
azooz80543,Arabic,English (US)
aisha-100,English (US),"Japanese,Korean"
ShiraInuHyper,Simplified Chinese (China),English (US)
martinezchavezlucio,Spanish (Mexico),"Japanese,Korean"
valitapbet,Spanish (Chile),"English (US),Japanese"
asyariyehuda,English (US),Spanish (Spain)
spring19893,Traditional Chinese (Taiwan),Japanese
nathankun,Portuguese (Brazil),"English (US),Japanese"
malkfoas1999,Arabic,English (US)
Les-SV,"Spanish (Chile),Spanish (Spain)",Spanish (Chile)
willian0017,Portuguese (Brazil),"English (US),French (France),German,Polish,Russian"
ber0,English (US),English (US)
dankmemer1122,English (US),French (France)
Neyyas,Portuguese (Portugal),Russian
Activer,Russian,Simplified Chinese (China)
shaboomy,Spanish (Mexico),Japanese
Sgg,Traditional Chinese (Taiwan),"English (US),English (UK)"
rosariovallejos74,Spanish (Spain),"English (US),Korean"
sami47532,Arabic,English (US)
VasylTryndiuk,"Russian,Ukrainian",English (UK)
bichtram91,Vietnamese,English (US)
NNeyys,Portuguese (Brazil),Russian
mollik007,Russian,English (US)
britogiovanna75,Portuguese (Brazil),Korean
Beep,Spanish (Spain),"English (US),Japanese"
hassandxxon9,Arabic,English (US)
robertosjunior,Portuguese (Portugal),"Arabic,English (US),French (France),German,Italian,Russian"
zLeonardoBR,Portuguese (Portugal),English (US)
ss113090341,Traditional Chinese (Taiwan),Japanese
sidney379,Portuguese (Brazil),"Albanian,German,Greek,Hungarian,Latin,Russian"
EmiliaAlvesc,Portuguese (Brazil),English (US)
Formax,Portuguese (Brazil),English (US)
Est_33,Spanish (Mexico),"English (US),French (France)"
lorakim,Russian,"English (US),Korean"
JasonLai123,English (US),English (US)
lovesummer,Traditional Chinese (Taiwan),"English (US),German,Japanese,Simplified Chinese (China),English (UK)"
chownoon,"English (US),Tagalog,Korean","Korean,Spanish (Spain)"
Pinnaple_Jess,Indonesian,"English (US),Japanese,Korean"
olguism,Spanish (Venezuela),"English (US),English (UK),French (France)"
omima16,Arabic,English (US)
cdanitzapamela,Spanish (Spain),Korean
HaHa_Dear,Thai,Korean
fiorella1997anabel,Spanish (Spain),English (US)
leeover,Simplified Chinese (China),Japanese
TheJadeEmperorJade99,English (US),Japanese
YetAnotherAlex,Russian,English (US)
ChunChunn,Vietnamese,Japanese
Leonardo042,Portuguese (Portugal),"English (US),Simplified Chinese (China),Spanish (Spain)"
Gata_Blondie,Portuguese (Brazil),English (US)
alibeksh,Russian,"English (US),Japanese"
MargaP,Tagalog,"Arabic,English (US),Hindi"
Siema_tu_Kornelia,Polish,English (US)
K_Kopycinski,Polish,English (UK)
Rori_Ko,Arabic,English (US)
cnn1999,English (US),Portuguese (Brazil)
neugasi,Russian,"English (US),Korean"
haseo,"Arabic,English (US)",English (US)
brooke_goar,English (US),Korean
kingdoge,"Spanish (Chile),Spanish (Spain),English (US),Spanish (Mexico)",Japanese
yasuhasky,Japanese,English (US)
xlyyyx,English (US),"Japanese,Korean,Simplified Chinese (China),Spanish (Mexico),Icelandic"
Simmie,Simplified Chinese (China),"Japanese,Spanish (Spain)"
comedy1994,Korean,"English (UK),Romanian"
sultanovic,Arabic,English (US)
jimminiee,English (US),Korean
siroo3love,Japanese,English (US)
yazminige23,Spanish (Mexico),English (US)
Xeroquin,English (US),Japanese
feilee609,English (US),"Javanese,Korean,Simplified Chinese (China)"
ChubeBest,"Spanish (Mexico),Spanish (Spain)",English (US)
mino_2402,Russian,"English (US),Korean,Simplified Chinese (China)"
Saoud,Arabic,English (US)
taysirfekri,"Arabic,English (US)","Japanese,Ukrainian"
jcchang891123,Traditional Chinese (Taiwan),Russian
Dimitrecyzarine,Portuguese (Brazil),Russian
zococounter,Arabic,English (US)
jajajaja,Spanish (Spain),English (US)
Isabel04,Spanish (Spain),Korean
dp666,"Simplified Chinese (China),Traditional Chinese (Taiwan)","Japanese,English (UK)"
Aguero,"Arabic,English (US)","English (US),Simplified Chinese (China)"
JESUiS15,Spanish (Mexico),"English (US),French (France)"
aniellypaixao2004,Portuguese (Brazil),Korean
Narihiro,Japanese,English (US)
brengb,Spanish (Spain),"English (UK),Korean"
Kokys,Russian,English (US)
ayamosa134,Arabic,English (US)
freakidr,English (UK),"German,Korean"
banser,Dutch,English (US)
MonLewis,Spanish (Mexico),"French (France),Italian,Russian"
sandraazaizeh,Arabic,"English (US),Romanian"
Narmin98,Azeri,English (US)
iJanDrale,Spanish (Chile),"English (US),German"
Bo55,"Arabic,English (US)",Russian
aaymhm8,Arabic,English (US)
BTS_Lover,English (US),Korean
DhanNguyen,Vietnamese,English (US)
arnoljj,Spanish (Colombia),"English (US),Japanese,Korean,Simplified Chinese (China)"
240057619,Simplified Chinese (China),English (US)
adc0212,English (US),Simplified Chinese (China)
lovely_pony_go,Russian,English (US)
Seifuku,Spanish (Spain),Japanese
luna-S,Portuguese (Brazil),"Italian,Japanese,Korean,Russian"
Mayerly,Spanish (Colombia),English (US)
Hiideyoshi,Portuguese (Brazil),Japanese
enzo10del6,Spanish (Chile),English (US)
oshiro,Portuguese (Portugal),"English (US),Japanese,Spanish (Spain)"
CherryJelly,Polish,"English (US),French (France),Simplified Chinese (China)"
omarhero96,Arabic,Italian
tuesdaysnights,Arabic,English (US)
MagaCh,Spanish (Spain),Korean
Svetaolehnik,English (US),English (US)
Vitoriag,Portuguese (Brazil),Korean
FaSKam7,Arabic,English (US)
Geogls,Portuguese (Brazil),"English (US),Japanese,Russian"
gabuni,German,"Arabic,Italian,Japanese,Spanish (Spain)"
_JoeFan2,Arabic,English (US)
nehallove77,Arabic,English (US)
Genesism16,Spanish (Spain),"Arabic,English (US),Korean"
ywykwry,"Arabic,English (US)",English (US)
Alexiel4869,Simplified Chinese (China),"English (UK),English (US),Japanese"
richiehuang0724,Traditional Chinese (Taiwan),Japanese
Saam,Spanish (Mexico),"English (US),Korean"
vu15141997,Vietnamese,English (UK)
MarianaScalisse,English (US),English (US)
gabriel22022002,Portuguese (Brazil),"Arabic,Belarusian,English (US),German,Russian"
Siobhhann,English (US),Korean
meskdad,"Arabic,English (US)",English (US)
abd1409009,Arabic,English (US)
AlexandraKan,Russian,"English (US),Korean"
athoor097,Arabic,English (US)
thifaniarauujo,Portuguese (Brazil),Korean
JackieZu,"English (US),Simplified Chinese (China)","English (US),German,Spanish (Colombia)"
edwinp,"English (US),Malay,Simplified Chinese (China)",German
Aracelimo1,Spanish (Mexico),English (US)
chenxi6,Simplified Chinese (China),English (US)
Brunex106,Portuguese (Brazil),"English (US),French (France),German,Japanese,Portuguese (Portugal)"
majeeeed143211,Arabic,English (US)
TalentedKaleah515,"English (US),Spanish (Mexico)",Korean
Polina517,Russian,"English (US),Norwegian (bokmal),Norwegian (nynorsk)"
southendonsea,Spanish (Spain),English (UK)
sofia_cisterna,Spanish (Spain),Korean
mezaivan98,Spanish (Mexico),Japanese
m7mdnexus10,Arabic,English (US)
nunuh01,"English (US),Spanish (Mexico)","Japanese,Korean"
xiaoyan123,Simplified Chinese (China),"English (US),Japanese"
marahammarah,Arabic,English (UK)
sharonwenlu,English (US),English (US)
hoshitsuki,Simplified Chinese (China),Japanese
GustavoTolotti_,Portuguese (Brazil),English (US)
papijin,"English (US),Spanish (Mexico)","Japanese,Korean"
xing0531,Traditional Chinese (Taiwan),Japanese
Saud12,"Arabic,English (US)","Russian,Spanish (Spain)"
amar201148,Arabic,English (US)
OAapz,"Spanish (Mexico),Spanish (Spain)","English (US),German,Japanese,Russian"
Siam2002,English (US),Korean
kikuyabb,Japanese,English (US)
rokuen,Simplified Chinese (China),"Japanese,English (US)"
Vcards01,Portuguese (Portugal),English (US)
ChsrlieFerreira,Portuguese (Brazil),English (US)
Tammine,Spanish (Colombia),Korean
squigglywigglez,English (UK),Japanese
amakida,Japanese,"English (UK),French (France),German"
moiofrench,English (US),"German,Japanese"
Ne72,Tagalog,Japanese
RatoSujoDoEsgoto,Portuguese (Brazil),"English (US),Japanese,Russian"
kentlin,Traditional Chinese (Taiwan),Korean
Minecraftplayer,Arabic,English (US)
R4WX_,Arabic,English (US)
TatianaG,Spanish (Colombia),Korean
nevinlam,Traditional Chinese (Hong Kong),"English (US),Japanese"
HanahanaAcha,Japanese,English (US)
Afnan1,Arabic,English (US)
Selena34,Simplified Chinese (China),Spanish (Spain)
Zaikova,Russian,Korean
mook_3,Arabic,English (UK)
mesini,Vietnamese,Japanese
YesiV,"English (US),Spanish (Mexico)","English (US),French (France),Korean"
leetsb1997,Spanish (Mexico),"English (US),German,Japanese"
Mat1221,Portuguese (Brazil),"English (US),Simplified Chinese (China)"
Kingdom8772,English (US),Japanese
Pegahpojhan,Persian,Spanish (Spain)
cecyy05,Spanish (Spain),"English (US),Japanese"
wstf99,Spanish (Spain),"English (UK),French (France)"
OEmil99,"English (US),Hungarian",Spanish (Spain)
Antoniofilipok,Spanish (Colombia),Indonesian
ogirin,Japanese,English (US)
Alstart,Portuguese (Brazil),Russian
meeiluuu,Russian,"English (US),Korean"
alexander767823,Russian,English (US)
juanaacolay,Spanish (Spain),"English (US),German,Japanese"
mohaa511,Arabic,English (US)
anasartpop,Arabic,"English (US),Finnish"
alcarazsantiago,Spanish (Colombia),"English (US),Portuguese (Brazil),Swedish"
Nguyenthianh,Vietnamese,English (US)
AngelBre,"English (US),Spanish (Mexico)","Japanese,Korean,Spanish (Spain),Portuguese (Brazil)"
Liilu,Spanish (Mexico),"English (UK),English (US),French (France),Italian,Japanese,Korean"
Jessica3793,English (US),English (US)
yms0316,Japanese,English (US)
billionv,Simplified Chinese (China),Japanese
bulycheva_sasha,Russian,Korean
dduck,Korean,"English (US),Japanese"
hachiro88,Japanese,English (US)
Lyalya,Russian,English (UK)
genean,Simplified Chinese (China),Japanese
BrandonVieira,Portuguese (Brazil),"English (US),German"
eddieative,Arabic,English (US)
nomureigo,English (US),English (US)
DaviPaiva,Portuguese (Portugal),English (US)
issabo,Spanish (Spain),"English (US),Korean"
daiking,Japanese,English (US)
lylagriffit,Russian,English (US)
cristianvolcan2010,Spanish (Spain),"English (US),French (France)"
monnig,Spanish (Spain),Italian
dilettante,Traditional Chinese (Taiwan),"English (US),Japanese"
mottamattheus,"Portuguese (Brazil),English (US)","German,French (France)"
lovisny,English (US),"English (US),French (France),Spanish (Spain)"
ChaoXing,"English (US),Indonesian","Arabic,Japanese,Korean,Traditional Chinese (Hong Kong)"
Diego444,"English (US),Portuguese (Brazil)",Norwegian (bokmal)
jeicianebatgirl,Portuguese (Portugal),"Arabic,English (UK),English (US),French (France),Italian,Portuguese (Portugal),Russian,Simplified Chinese (China)"
soyuon_mi,Russian,Korean
KiriCH,Russian,"English (US),German,Japanese,Russian"
Lumus,Portuguese (Brazil),English (US)
Beaut33,Simplified Chinese (China),English (US)
amoOorh777,Arabic,Korean
Ryan168,Traditional Chinese (Hong Kong),English (UK)
Jokerhahahaha,Simplified Chinese (China),"Japanese,English (US)"
Luici,Turkish,English (US)
tuyettran0990,Vietnamese,"English (US),German"
joarianeescocio,Portuguese (Portugal),English (US)
ColdStars,English (US),Japanese
Yanpy_an,Traditional Chinese (Hong Kong),Japanese
Yanpy_an,Traditional Chinese (Hong Kong),Japanese
annaluo,Traditional Chinese (Taiwan),"English (US),Japanese"
SlavaBRaps,Russian,English (US)
lia0213,Korean,English (US)
hoamai76,Vietnamese,English (US)
qsasz,Polish,German
jonemonzla,Arabic,English (US)
smile1,Simplified Chinese (China),"English (US),Japanese"
cs930414,Traditional Chinese (Taiwan),"English (US),Korean"
DenniuceAburame,English (US),Japanese
ahmad7557,Arabic,English (US)
Maria2880,Spanish (Spain),"English (UK),English (US)"
Thekra1,Arabic,"Arabic,English (US)"
elizabet002,Russian,"English (UK),English (US)"
diaa_aldamiri,"Russian,Arabic","Russian,English (US)"
lyn0147,English (US),Japanese
KinoSuave,English (US),Japanese
lmarta,Polish,"English (UK),Spanish (Spain)"
addna,Russian,English (UK)
ibrahim89jk,Arabic,French (France)
WollfEyes2015,Arabic,"English (US),French (France),Japanese,Italian,Spanish (Spain)"
dashapet20024,Russian,"English (US),Italian"
yan85test,Japanese,"Ainu,English (US)"
kaff,Arabic,English (US)
Kenken24,Japanese,English (US)
fairs1234567890,English (US),English (US)
fairs1234567890,English (US),English (US)
dudu119,Simplified Chinese (China),"English (US),Spanish (Spain)"
akipsy,Korean,Japanese
anacb1,Spanish (Spain),"Dutch,English (US)"
YunsoL,English (US),Korean
BOXER73,Japanese,English (US)
nikolaosobka,Polish,Japanese
Giancar33,Spanish (Mexico),Japanese
Huhuhuhu,Simplified Chinese (China),"English (UK),English (US)"
A_T,Arabic,English (US)
milmil0822,Korean,Japanese
hu16,Arabic,English (US)
Mr3b,Arabic,English (US)
eslamkanani,"Arabic,English (US),Hebrew","English (US),French (France)"
Amy993,Simplified Chinese (China),English (US)
anastosiymo,Russian,English (US)
yu12,Japanese,English (US)
JazminH5003,Spanish (Spain),English (US)
eolin,Korean,Portuguese (Brazil)
mastk54,Arabic,English (US)
Yulechka,Russian,"English (US),French (France),Italian,Spanish (Spain)"
lasek2006,Polish,Spanish (Spain)
Masa918,Japanese,"Korean,English (US),Simplified Chinese (China),Spanish (Spain),Traditional Chinese (Taiwan)"
Yuya01,English (US),"Japanese,Korean"
Cinderella20,Arabic,English (US)
J-in,Simplified Chinese (China),English (US)
J-in,Simplified Chinese (China),English (US)
linyijiee,"Simplified Chinese (China),Traditional Chinese (Hong Kong)","English (US),Korean,Traditional Chinese (Hong Kong)"
akipsy0518,Korean,Japanese
denis_frodo,Russian,English (US)
Gluknoglaz,Russian,"English (US),Japanese,Klingon"
Paolocosta,Italian,Russian
MASA417,Japanese,English (US)
HhYsRdgzNwIv05X,"Arabic,English (US)",English (US)
ayooosh_9,Arabic,English (US)
XDDtta,Vietnamese,English (US)
kathenmsp,Polish,Vietnamese
nqq,"Arabic,English (US)",English (US)
Mary0902,English (US),English (US)
nesterenckoartur,"Russian,Ukrainian","English (US),Polish"
avhamdullahure,Turkish,English (US)
LuMin13,Korean,Simplified Chinese (China)
dhasih,Indonesian,English (US)
aman1429,Arabic,English (US)
Xlr,Arabic,English (US)
Mmerche,English (US),English (US)
vulpes24,Polish,"English (US),French (France),German,Dutch"
zyatuk292,Ukrainian,English (US)
NguynThTrngHn1,Vietnamese,English (US)
cindyflower,Korean,English (US)
serevvq,Polish,English (US)
zealot,Simplified Chinese (China),"English (US),Japanese,Russian"
kkkttnn,"English (US),Indonesian","Japanese,Korean"
malysheva_victa,Russian,"English (US),Norwegian (bokmal),Norwegian (nynorsk),Spanish (Spain)"
Valeryan,Russian,"English (UK),German,Polish"
r123456789,Arabic,English (US)
YoungHwi,Korean,English (US)
jimmyliu,Simplified Chinese (China),"English (UK),French (France)"
Thamaravillar,Portuguese (Brazil),"Japanese,English (US),Italian,Korean"
rose101720915,Traditional Chinese (Taiwan),Korean
kiyasux,English (UK),"Korean,Simplified Chinese (China),Vietnamese"
Samusenko,Russian,English (US)
rainDro99,English (US),"Korean,Japanese"
yafetlopez,Spanish (Venezuela),English (US)
Philosopher_555,Japanese,English (US)
darksoulunit360,Spanish (Mexico),"English (US),Japanese"
Ayaka12,Japanese,English (US)
kiritogamer,Spanish (Spain),"English (US),Japanese,Korean,Traditional Chinese (Hong Kong)"
mu2077,"Arabic,English (UK)",English (US)
pargat,Punjabi,English (US)
wiklip150,Polish,German
vladilenko4,Russian,English (US)
AS_SDEES16,Arabic,"English (UK),Japanese"
Mesia12,Polish,"English (UK),Japanese,Spanish (Spain),French (France)"
KuRa125,Russian,Japanese
mjo,"Spanish (Chile),Spanish (Spain)","Catalan,English (UK),English (US),French (France),German,Turkish"
tunatuna,English (US),"Arabic,Dutch,French (France),Korean,Kiswahili,Spanish (Mexico)"
cindyflower87,Korean,"English (US),Japanese"
anetabr165,Polish,English (UK)
rashtek,Russian,English (US)
chocoserin,Korean,English (US)
kmokl25,English (US),"French (France),Simplified Chinese (China),Spanish (Mexico),Spanish (Spain)"
gravyen,Portuguese (Brazil),English (US)
John65,Traditional Chinese (Taiwan),"English (US),Vietnamese"
hancanfly,Traditional Chinese (Taiwan),"English (US),Japanese"
natsusun,Japanese,"English (US),German"
aventurerojrv,Spanish (Colombia),English (UK)
lolld,English (US),"French (France),Hindi,Italian,Spanish (Spain)"
rnqhsgur01,Korean,English (US)
abood22l,Arabic,English (US)
Downeysweet,Simplified Chinese (China),Japanese
shahdmohamed,Arabic,English (US)
gilbertoquintero,Spanish (Mexico),English (US)
loay99,English (US),English (US)
ecosave,Korean,English (US)
ching98,Simplified Chinese (China),English (UK)
AlessandraCupCake,Italian,"Korean,English (UK),French (France)"
kozaefeweerf,Polish,"English (UK),Ukrainian,Romanian"
CutejannyJane,Russian,"English (US),French (France)"
ysic,French (France),English (UK)
Abdulrhim,Arabic,English (US)
HiroUe,Japanese,"English (UK),English (US)"
pching98,Simplified Chinese (China),"English (UK),English (US),Traditional Chinese (Taiwan)"
momomordj,Simplified Chinese (China),"English (US),Japanese"
maianh2532001,Vietnamese,Korean
avedrugdiller,Russian,English (US)
Missanastasia63,Russian,English (US)
xlamaui,Arabic,English (US)
crage,Simplified Chinese (China),Japanese
nicnice,English (UK),Japanese
tyids1801,Traditional Chinese (Taiwan),"Japanese,Simplified Chinese (China)"
Aidne20,"Arabic,English (US)",French (France)
tt3b,Arabic,English (US)
melanholia59,Russian,Korean
abod3bor,Arabic,English (US)
guillezote,Spanish (Spain),English (US)
jbkrck,Polish,"English (US),French (France),Spanish (Spain)"
u8_5d,Arabic,English (US)
KeGaNi,Japanese,English (US)
ThaoReal,English (US),English (US)
amonj,Arabic,English (US)
dabicanastasija2,Serbian,"English (US),German"
Panda1325,Russian,Japanese
AliAlaj07559340,Arabic,English (US)
5looof,Arabic,English (US)
katyaf56,Russian,"English (US),Norwegian (bokmal)"
GabrilBR62,Portuguese (Portugal),English (US)
aeshaomrana,Arabic,English (US)
raghadx77x,Arabic,English (US)
Sumayyah,"Arabic,English (US)","Japanese,Spanish (Spain)"
yuri0902,Japanese,English (US)
otakugamesarb,Arabic,Japanese
minoko,Simplified Chinese (China),"English (US),Japanese,Korean"
olimorpet,English (US),Korean
ol_mur123,Russian,"English (US),Italian"
mikihiew,"Malay,Simplified Chinese (China),Traditional Chinese (Hong Kong)",Korean
JessieGan,Simplified Chinese (China),"English (US),French (France)"
Leslie05,Spanish (Colombia),English (US)
Emma0618,Simplified Chinese (China),Japanese
Meldwill,"Polish,Russian","English (US),Polish"
xinyuzhang0125,Simplified Chinese (China),Korean
Retinol,Polish,"English (US),Hungarian,Norwegian (bokmal),Danish"
khunnie,Simplified Chinese (China),English (US)
joovely,Korean,"English (US),Spanish (Spain)"
Xardas,Russian,English (US)
littleidiot,Simplified Chinese (China),Japanese
soon02,Korean,Japanese
GosiaKuczynska,Polish,"English (UK),English (US),French (France),Norwegian (bokmal),Norwegian (nynorsk),Spanish (Spain)"
PhuongPhan88,English (US),English (US)
EcoBunny,"English (US),Simplified Chinese (China)",Japanese
Abdullah5557,Arabic,English (US)
Meeeeeeeeee,Japanese,English (US)
chou127a,Traditional Chinese (Taiwan),English (US)
FreyaRan,Simplified Chinese (China),English (UK)
onavas1105,Spanish (Venezuela),English (US)
Alina136,English (US),English (US)
HaLva,Russian,"English (US),Japanese"
hultaj22,Polish,English (US)
Ramlz,Ukrainian,English (US)
Gracelily,English (US),Urdu
EcoBunny2004,"English (UK),Simplified Chinese (China)","Japanese,English (UK),Simplified Chinese (China)"
teruyaToshi,Portuguese (Brazil),"English (US),Japanese"
nikitasapov1,Russian,English (US)
Krison,Malay,Korean
rssllfloyd,English (US),Japanese
Lanh,Vietnamese,English (US)
KkaterinaMz,Russian,Korean
blacksugarr,Russian,"English (US),Korean"
hi_na_,Japanese,"English (US),Traditional Chinese (Taiwan),Simplified Chinese (China)"
mrkanjmk,Arabic,"English (US),Hindi,Turkish"
dexterspg,Tagalog,"English (US),French (Canada),French (France),Japanese"
Kuanush,"Russian,Kazakh","English (US),Simplified Chinese (China)"
Iam_Wildan,English (US),Korean
kratkamisstoja,Polish,"English (US),Japanese"
mikihiew529,"Simplified Chinese (China),Traditional Chinese (Hong Kong)",Korean
Liwcia14,"French (France),Polish","English (UK),French (France)"
letrinhshin,Vietnamese,English (US)
Fk6rTBebk2gJR3W,Arabic,English (US)
letrinhshin,Vietnamese,English (US)
A_90007,Arabic,English (US)
ssffdd550022,Arabic,English (US)
amooory_45,Arabic,English (US)
AceScapini,"Portuguese (Brazil),English (US),English (UK)","Aymara,Greek,Italian,Japanese,Korean,Latin,Malay,Mongolian,Russian,Spanish (Colombia),Traditional Chinese (Hong Kong),Ukrainian,English (UK)"
Ying27,Traditional Chinese (Taiwan),Japanese
Mandada,Simplified Chinese (China),English (US)
CelaLynn,Simplified Chinese (China),English (US)
kedamawi2007,English (US),Japanese
Stuart2,Spanish (Spain),English (US)
kennsuke,Javanese,English (US)
_Master11,Arabic,English (US)
Jenia_G,Russian,"English (UK),Traditional Chinese (Taiwan)"
AvaChang,English (US),English (US)
Yousra_7,French (France),Korean
246abcabc123123,Arabic,Korean
lenoleen2001,Arabic,English (US)
RodriguesHeloisa,Portuguese (Portugal),English (US)
iq_hadeel,"Arabic,Turkish","English (UK),Turkish,Arabic,Korean"
coblasalex,Russian,English (US)
vikuktalie,Czech,English (UK)
matheus_amorim,Portuguese (Brazil),"English (US),Japanese,Portuguese (Portugal),Russian"
a49shaikha,Arabic,Turkish
mhmadtk,Arabic,English (US)
Yuma40,Spanish (Spain),English (US)
mirelast87,Albanian,English (UK)
varchacha,Russian,"English (US),French (France),Japanese,Spanish (Spain)"
portito,"English (US),Portuguese (Brazil)",Japanese
ThienKim69,Russian,Korean
lqj1012,Simplified Chinese (China),English (US)
Heloisa_Rodrigues,Portuguese (Portugal),"English (UK),English (US)"
Yamahumi,Japanese,"English (US),Simplified Chinese (China)"
Walid81,"Arabic,English (UK)","English (UK),German"
loveforarigxx,Russian,English (US)
Smallya,Simplified Chinese (China),"Arabic,English (US),Japanese"
adeladodo,Spanish (Spain),English (UK)
zhen6,Simplified Chinese (China),English (US)
a_herber,Portuguese (Brazil),"English (US),French (France),German,Spanish (Spain)"
osiolek98,Polish,"Japanese,Vietnamese"
Harmonizer,Russian,"English (US),Ukrainian"
FumiakiN,Japanese,English (US)
rurupapa,Japanese,English (US)
nooraalmarri1210,Arabic,Korean
rafa0912,Portuguese (Brazil),English (US)
